ID;Согласовано;Раздел документа;Содержание;Порядковыи? номер;Дата ввода требования в действие;Дата отмены или приостановки требования;Статус требования;Реестр НТД;Вид номера;Раздел реестра;Требование безопасности;Конструктор;Триггер избранного;Создавший пользователь;ЮИН;Изменено;Дата публикации в реестре требований;;
191947;Ложь;;"<p>5.10 Концентрацию вредных веществ в воздухе рабочей зоны на рабочих местах в производственных помещениях при расчете систем лучистого отопления и нагревания, вентиляции и кондиционирования следует принимать не более ПДК в воздухе рабочей зоны, установленной ГОСТ 12.1.005, а также нормативными документами органа санитарно-эпидемиологического надзора.&nbsp;</p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191947;Ложь;;;
191948;Ложь;;"<p>5.11 Концентрацию вредных веществ в приточном воздухе при выходе из воздухораспределителей и других приточных отверстий следует принимать по расчету с учетом фоновых концентраций этих веществ в местах размещения воздухоприемных устройств, но не более:</p><p>а) 30 % ПДК в воздухе рабочей зоны – для производственных и административно-бытовых помещений;</p><p>б) ПДК в воздухе населенных пунктов – для жилых и общественных помещений.</p><p><br></p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191948;Ложь;;;
191949;Ложь;;"<p>5.12 Параметры микроклимата при кондиционировании чистых помещений следует предусматривать для обеспечения в рабочей или обслуживаемой зоне:</p><p>- чистоты воздуха соответствующего класса, принятого по заданию на проектирование;</p><p>- параметров воздуха в пределах оптимальных норм по 5.3 или по заданию на проектирование.&nbsp;</p><p><br></p>";;01.07.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191949;Истина;;;
191951;Ложь;;"<p>5.13 Заданные параметры микроклимата в помещениях жилых, общественных, административно-бытовых и производственных зданий следует обеспечивать в пределах расчетных параметров наружного воздуха для соответствующих районов строительства, принятых по СП 131.13330:</p><p>параметры А ? для систем вентиляции и воздушного душирования в теплый период года;</p><p>параметры Б ? для систем отопления, вентиляции и воздушного душирования в холодный период года, а также для систем кондиционирования в теплый и холодный периоды года.&nbsp;</p><p>Параметры наружного воздуха для переходных условий года следует принимать: температуру 10 °C и удельную энтальпию 26,5 кДж/кг или параметры наружного воздуха, при которых изменяются режимы работы оборудования, потребляющего тепло и холод.&nbsp;</p>";;01.07.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191951;Истина;;;
191952;Ложь;;"<p>5.14 Параметры наружного воздуха для зданий сельскохозяйственного назначения, если они не установлены требованиями для строительных конструкций или технологическими требованиями, следует принимать:</p><p>параметры А ? для систем вентиляции и кондиционирования в теплый и холодный периоды года;</p><p>параметры Б ? для систем отопления в холодный период года.&nbsp;</p><p><br></p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191952;Ложь;;;
191953;Ложь;;"<p>5.17 В технических решениях систем отопления, вентиляции и кондиционирования воздуха должна быть предусмотрена возможность автоматического автономного регулирования параметров микроклимата помещений.&nbsp;</p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями";;Ложь;Соколов Сергей Вадимович;191953;Ложь;;;
191955;Ложь;;"<p>6.1.3 При централизованной системе теплоснабжения системы внутреннего теплоснабжения и отопления жилых и общественных зданий следует присоединять через ЦТП/ИТП согласно требованиям СП 510.1325800.&nbsp;</p>";;01.07.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями; требования энергетической эффективности зданий и сооружений";;Ложь;Соколов Сергей Вадимович;191955;Истина;;;
191958;Ложь;;"<p>6.1.5 Допускается при централизованном теплоснабжении группы малоэтажных домов (до трех этажей включительно) присоединять их к тепловым сетям через ЦТП с автоматическим регулированием подачи теплоты во внутриквартальные сети отопления и параметрами теплоносителя, циркулирующего в этих сетях, соответствующими требуемым для систем отопления подключенных к ним зданий.&nbsp;&nbsp;</p><p><br></p>";;01.07.2021;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями; требования энергетической эффективности зданий и сооружений";;Ложь;Соколов Сергей Вадимович;191958;Истина;;;
191960;Ложь;;"<p>6.1.6 Устройство тепловых пунктов следует выполнять в соответствии с СП 510.1325800 и СП 124.13330.2012 (раздел 14).&nbsp;</p>";;01.07.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями; требования энергетической эффективности зданий и сооружений";;Ложь;Соколов Сергей Вадимович;191960;Истина;;;
191961;Ложь;;"<p>6.1.7 При подключении группы многоквартирных жилых домов через ЦТП/ИТП, автоматическое регулирование подачи теплоты в системы внутреннего теплоснабжения и отопления этих домов должно осуществляться в каждом доме (части дома) в автоматизированном узле управления системами отопления и внутреннего теплоснабжения. Допускается предусматривать автоматическое регулирование подачи теплоты в системы внутреннего теплоснабжения для группы многоквартирных жилых домов на общем автоматизированном узле управления системами отопления и внутреннего теплоснабжения, при этом необходимо предусматривать самостоятельные системы (ветви) отопления от автоматизированного узла управления для групп помещений с учетом их функционального назначения (жилые помещения, технические помещения, помещения для хранения автомобилей и т.д.).</p><p>Выбор трехходовых или двухходовых автоматических регулирующих клапанов в узлах смешения систем теплоснабжения воздухонагревателей приточных установок должен осуществляться исходя из пропускной способности клапана согласно ГОСТ Р 70338. Если располагаемый перепад давления в системе внутреннего теплоснабжения превышает напор, развиваемый насосом смесительного узла, то расчетная потеря давления на клапане должна быть не менее 30 % располагаемого перепада давления системы, при полном открытии клапана. В случае, если располагаемый перепад давления в системе внутреннего теплоснабжения ниже напора, развиваемого насосом смесительного узла, расчетная потеря давления на клапане должна быть не менее 30 % от напора, развиваемого насосом. Если в узле смешения установлен дополнительный ручной балансировочный клапан, то расчетную потерю давления следует делить поровну между регулирующим клапаном и ручным балансировочным клапаном.&nbsp;</p><p><br></p>";;20.10.2024;;Проект;Отопление, вентиляция и кондиционирование воздуха. Актуализированная редакция СНиП 41-01-2003  (с Правкой и изменениями №1, №2, №3, № 4);;Требования технических регламентов;"Требование безопасности для здоровья человека условий проживания и пребывания в зданиях и сооружениях; требование безопасности для пользователей зданиями и сооружениями; требования энергетической эффективности зданий и сооружений";;Ложь;Соколов Сергей Вадимович;191961;Истина;;;
