ID,Содержание,Дата ввода требования в действие,Реестр НТД,Требование безопасности,ЮИН,Обрабатывается в ЦИМ,Подлежит переводу в МПФ,Передано подрядчику,Комментарии,"Наличие ссылок на другие НД, в которых содержатся требования",Наличие ссылок на Задание на проектирование,Наличие ссылок на другие пункы этого СП,Наличие формул,Упоминание расчетов,Наличие таблиц,Наличие рисунков/диаграмм,Требование носит рекомендательный характер
193377,"<p>4.14 Максимальные тепловые нагрузки на отопление, вентиляцию и кондиционирование и средние тепловые нагрузки на горячее водоснабжение жилого, общественного и производственного здания или группы зданий, обеспечиваемых тепловой энергией от одной котельной, следует принимать по соответствующим разделам проектной документации, а при их отсутствии – по удельным показателям.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193377,0,0,0,,0,0,0,0,0,0,0,0
193378,"<p>4.15 Тепловые нагрузки для расчета и выбора оборудования котельной следует определять для обеспечения устойчивой работы при трех режимах:</p><p>- максимального – при температуре наружного воздуха в наиболее холодную пятидневку;</p><p>- среднего – при средней температуре наружного воздуха холодного месяца;</p><p>- минимального, летнего – при минимальной нагрузке горячего водоснабжения.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193378,0,0,0,"Упоминание расчетов ['расчета'] 
",0,0,0,0,1,0,0,0
193379,"<p>4.16 Число и производительность котлов, установленных в котельной, следует выбирать, обеспечивая:</p><p>- расчетную мощность котельной согласно 4.12;</p><p>- стабильную работу котлов при минимально допустимой нагрузке в теплый период года.</p><p>При выходе из строя наибольшего по производительности котла в котельных первой категории оставшиеся котлы должны обеспечивать отпуск тепловой энергии потребителям первой категории в количестве, определяемом:</p><p>- минимально допустимыми нагрузками (независимо от температуры наружного воздуха) – на технологическое теплопотребление и системы вентиляции;</p><p>- режимом температуры воздуха наиболее холодной пятидневки с обеспеченностью 0,92 на отопление и ГВС при отсутствии возможности отключения нагрузки ГВС.</p><p>При выходе из строя одного котла независимо от категории котельной количество тепловой энергии, отпускаемой потребителям второй и третьей категорий, следует обеспечивать в размере, указанном в пункте 5.5&nbsp;СП 124.13330.2012, если иное не предусмотрено заданием на проектирование.</p><p>Число котлов, устанавливаемых в котельных, и их производительность, следует определять по расчетной максимальной и минимальной мощности на основании технико-экономических расчетов.</p><p>В котельных следует предусматривать установку не менее двух котлов; в производственных котельных второй категории допускается установка одного котла.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193379,0,0,0,"Наличие ссылок на Задание на проектирование ['заданием на проектирование']
Наличие ссылок на другие НД, в которых содержатся требования ['СП 124']
Упоминание расчетов ['определять по расчетной'] 
Неоднозначная формулировка ['допускается']
",1,1,0,0,1,0,0,1
193380,"<p>4.18 Для котельных первой категории необходимо:</p><p>- обеспечивать наличие как основного, так и резервного топлива;</p><p>- электроснабжение котельной выполнять по первой категории в соответствии с [17];</p><p>- водоснабжение котельной выполнять от двух источников. В качестве второго источника допускается использовать резервуар запаса ХВС из условия обеспечения не менее 54 ч работы подпиточных устройств.</p><p>Для котельных второй категории наличие основного и аварийного топлива определяется в соответствии с [13], за исключением объектов, входящих в [24].</p><p>Независимо от установленной мощности, электроснабжение котельных устанавливается по второй категории согласно [17] с учетом требований 16.7.</p><p>Водоснабжение осуществляется от одного источника. </p><p>Для котельных третьей категории требования по аварийному топливу и водоснабжению определяются техническим заданием.</p><p>Электроснабжение может выполняться по третьей категории согласно [17].</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193380,0,0,0,"Наличие ссылок на Задание на проектирование ['техническим заданием']
Наличие ссылок на другие НД, в которых содержатся требования ['[17]', '[13]', '[24]', '[17]', '[17]']
Неоднозначная формулировка ['допускается']
",1,1,0,0,0,0,0,1
193381,<p>4.19 Блочно-модульные котельные и котельные наружного типа должны соответствовать требованиям нормативных документов и настоящего свода правил. Размещать такие котельные следует в соответствии с СП 51.13330 и СанПиН 1.2.3685.</p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193381,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 51']
Наличие ссылок на другие НД, в которых содержатся требования ['СанПиН 1']
Неоднозначная формулировка [' должны соответствовать требованиям нормативных документов']
",1,0,0,0,0,0,0,1
193382,"<p>4.20 Компоновка и размещение технологического оборудования котельной должны обеспечивать:</p><p>- условия для механизации ремонтных работ;</p><p>- возможность использования при ремонтных работах инвентарных подъемно-транспортных механизмов и устройств.</p><p>Для ремонта узлов оборудования и трубопроводов массой более 50 кг следует предусматривать инвентарные грузоподъемные устройства. При невозможности использования инвентарных грузоподъемных устройств следует предусматривать стационарные грузоподъемные устройства (тали, тельферы, подвесные и мостовые краны).</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193382,0,0,0,"Неоднозначная формулировка ['При невозможности']
",0,0,0,0,0,0,0,1
193385,<p>4.22 Принятые в проекте основные технические решения должны обеспечивать:</p><p>- надежность и безопасность работы оборудования;</p><p>- требования по обеспечению пожарной безопасности;</p><p>- требования по обеспечению безопасного уровня воздействия на окружающую среду;</p><p>- максимальную энергетическую эффективность котельной;</p><p>- требования по обеспечению безопасных для здоровья человека условий пребывания в котельной;</p><p>- требования по охране труда в соответствии с ГОСТ 12.1.005 и ГОСТ Р 12.3.047;</p><p>- требования по обеспечению максимальной энергетической эффективности.</p><p><br></p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193385,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['ГОСТ 12']
",1,0,0,0,0,0,0,0
193386,"<p>4.23 Тепловую изоляцию котельных установок и вспомогательного оборудования, трубопроводов, арматуры, газоходов, воздуховодов и пылепроводов следует предусматривать с учетом требований СП 60.13330 и СП 61.13330.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193386,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 60', 'СП 61']
",1,0,0,0,0,0,0,0
193387,"<p>5.1 Схему планировочной организации земельного участка котельных следует разрабатывать в соответствии с СП 18.13330 в зависимости от комплекса зданий, сооружений и сетей инженерно-технического обеспечения котельной, с учетом настоящего свода правил.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193387,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 18']
",1,0,0,0,0,0,0,0
193388,"<p>5.2 Размещение котельных на территории жилой застройки населенных пунктов должно осуществляться в соответствии с СП 42.13330. В зависимости от тепловой мощности, вида топлива, назначения и места расположения схемы планировочной организации земельного участка котельные могут включать в себя здания и сооружения вспомогательного характера. В состав схем котельных могут входить:</p><p>- главный корпус (котельный зал);</p><p>- дымовые трубы;</p><p>- вспомогательные помещения и административно-бытовой комплекс (возможно, сблокированные с главным корпусом);</p><p>- здания(помещения) химводоподготовки;</p><p>- склады соли и реагентов;</p><p>- резервуары холодного и горячего водоснабжения, противопожарные резервуары;</p><p>- водозаборные и очистные сооружения;</p><p>- склады жидкого и твердого топлива;</p><p>- насосные станции, приемные и расходные емкости жидкого топлива;</p><p>- узлы железнодорожного, автомобильного и непрерывного транспорта;</p><p>- трансформаторная подстанция;</p><p>- газорегуляторный пункт.</p><p>Проектирование таких объектов должно осуществляться в соответствии с СП 31.13330, СП 32.13330, СП 34.13330, СП 37.13330, СП 56.13330, СП 41.13330, СП 119.13330, СП 4.13130, СП 155.13130.</p><p><br></p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193388,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 42', 'СП 31', 'СП 32', 'СП 34', 'СП 37', 'СП 56', 'СП 41', 'СП 119', 'СП 4', 'СП 155']
Неоднозначная формулировка ['возможно']
",1,0,0,0,0,0,0,1
193389,"<p>5.3 Размеры земельных участков котельных, располагаемых в районах жилой застройки, следует принимать в соответствии с СП 42.13330.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193389,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 42']
",1,0,0,0,0,0,0,0
193391,"<p>5.6 Склады топлива, реагентов, материалов, помещения лабораторий, а также вспомогательные помещения котельных, размещаемых на площадках промышленных предприятий, следует объединять с аналогичными зданиями, помещениями и сооружениями этих предприятий.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193391,0,0,0,,0,0,0,0,0,0,0,0
193392,"<p>5.7 Размещение котельных наружного типа, состоящих из одного корпуса, должно предусматривать свободный транспортный подъезд, свободную площадку для размещения ремонтируемого оборудования, свободный доступ к точкам подключения к сетям инженерно-технического обеспечения с учетом 4.19 и 8.5д.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193392,0,0,0,"Неоднозначная формулировка ['доступ ']
",0,0,0,0,0,0,0,1
193393,"<p>5.8 Здания и сооружения, входящие в состав котельных (в том числе котельные наружного типа), расположенные на территории населенных пунктов (за исключением территорий промышленных предприятий), должны иметь специальное ограждение, препятствующее проникновению на территорию посторонних лиц.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193393,0,0,0,,0,0,0,0,0,0,0,0
193395,"<p>5.9 Вне пределов территории котельной допускается располагать разгрузочные устройства топливоподачи, приемные устройства и резервуары СУГ и испарительных установок, топливные склады, мазутные хозяйства, станции сбора и перекачки конденсата, баки-аккумуляторы горячего водоснабжения, насосные станции и резервуары противопожарного и питьевого водоснабжения, золошлакоотвалы с оформлением отводов земельных участков в установленном порядке. Указанные объекты должны иметь отдельные ограждения.</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193395,0,0,0,"Неоднозначная формулировка ['допускается']
",0,0,0,0,0,0,0,1
193396,"<p>5.10 Объекты котельной, указанные в 5.9 должны иметь ограждения.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193396,0,0,0,"Наличие ссылок на другие пункы этого СП ['указанные в 5.9']
",0,0,1,0,0,0,0,0
193397,"<p>5.11 Баки-аккумуляторы горячего водоснабжения, резервуары противопожарного и питьевого водоснабжения должны иметь ограждения в соответствии с требованиями раздела 11.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193397,0,0,0,"Наличие ссылок на другие пункы этого СП ['']
Наличие ссылок на другие пункы этого СП ['в соответствии с требованиями раздела 11']
",0,0,1,0,0,0,0,0
193398,"<p>5.12 Систему водоотвода с территории котельной следует проектировать открытой, а в условиях застройки – в увязке с сетями производственной и ливневой канализации предприятия или района, в котором размещается котельная по техническим условиям, в соответствии с [11].</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193398,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['[11]']
",1,0,0,0,0,0,0,0
193399,"<p>5.13 Расстояния от зданий и сооружений до отдельно стоящей котельной, а также от оборудования, расположенного на открытых площадках, до жилых и общественных зданий необходимо определять согласно СанПиН 2.2.1/2.1.1.1200.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193399,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СанПиН 2']
",1,0,0,0,0,0,0,0
193400,"<p>5.14 Золошлакоотвалы следует проектировать с учетом возможности комплексной переработки по безотходной технологии золы и шлака для нужд строительства. При невозможности использования золы и шлака для нужд строительства золошлакоотвалы следует проектировать, соблюдая следующие условия:</p><p>- размеры площадки золошлакоотвалов следует предусматривать с учетом работы котельной не менее 25 лет с выделением первой очереди строительства, рассчитанной на эксплуатацию котельной в течение 10 лет;</p><p>- золошлакоотвалы следует размещать на непригодных для сельского хозяйства земельных участках вблизи площадки котельной;</p><p>- для золошлакоотвалов следует использовать низины, овраги, заболоченные места, выработанные карьеры, с учетом перспективного развития района строительства.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193400,0,0,0,"Неоднозначная формулировка ['с учетом возможности']
['При невозможности']",0,0,0,0,0,0,0,1
193401,"<p>5.15 На золошлакоотвалах следует предусматривать мероприятия по защите водоемов от выноса золы и шлака дождевыми и паводковыми волами, а также от ветровой эрозии.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193401,0,0,0,"Неоднозначная формулировка ['следует предусматривать мероприятия ']
",0,0,0,0,0,0,0,1
193402,"<p>5.16 Выбор схемы и системы транспортного обслуживания котельной следует выполнять согласно СП 37.13330 и на основании технико-экономического расчета, исходя из ее расчетной производительности, места расположения, очередности строительства и перспектив расширения.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193402,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 37']
Упоминание расчетов ['расчета'] 
",1,0,0,0,1,0,0,0
193403,"<p>5.17 При установлении весовой нормы подачи следует учитывать вместимость склада топлива котельной и склада реагентов для водоподготовки, рассчитанные в соответствии с разделами 12 и 13.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193403,0,0,0,"Наличие ссылок на другие пункы этого СП ['в соответствии с разделами 12 и 13']
",0,0,1,0,0,0,0,0
193404,"<p>5.18 При доставке топлива или вывозе золы и шлака автомобильным транспортом основной автомобильный въезд, связывающий площадку котельной с внешней сетью автомобильных дорог, должен иметь две полосы движения или закольцованную дорогу.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193404,0,0,0,,0,0,0,0,0,0,0,0
193405,"<p>5.19 В проектах следует предусматривать возможность подъезда автомобильного транспорта к зданиям и сооружениям котельных и оборудованию, устанавливаемому на открытых площадках.</p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193405,0,0,0,,0,0,0,0,0,0,0,0
193406,<p>5.20 Дороги для автомобильного транспорта должны иметь твердые покрытия.</p>,17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193406,0,0,0,,0,0,0,0,0,0,0,0
193407,<p>5.21 Для перевозки жидкого топлива и золошлаковых отходов следует предусматривать специальные автотранспортные средства. Территория складов жидкого топлива должна иметь сплошное ограждение в соответствии с СП 155.13130.</p>,16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193407,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 155']
",1,0,0,0,0,0,0,0
193408,"<p>5.22 Противопожарные расстояния между зданиями котельной и жилыми и общественными зданиями и сооружениями производственного, складского и технического назначения в зависимости от степени огнестойкости и класса их конструктивной пожарной опасности принимать в соответствии с СП 4.13130.</p><p>Расстояния от резервуаров жидкого топлива до жилых и общественных зданий следует определять в соответствии с СП 155.13130.</p><p><br></p>",17.06.2017,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193408,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 4', 'СП 155']
",1,0,0,0,0,0,0,0
193409,"<p>6.4 Ограждающие и конструктивные материалы зданий и сооружений котельных должны соответствовать требованиям СП 50.13330 и нормативных документов по пожарной безопасности, обеспечивающих выполнение требований [5].</p>",16.01.2022,Котельные установки. Актуализированная редакция СНиП II-35-76 (с изменением № 1),Требования энергетической эффективности зданий и сооружений,193409,0,0,0,"Наличие ссылок на другие НД, в которых содержатся требования ['СП 50']
Наличие ссылок на другие НД, в которых содержатся требования ['[5]']
",1,0,0,0,0,0,0,0
